GEOID10,intersects_leveedarea
060610209084,0
060610209082,0
060610236001,0
060610237002,0
060610236002,0
060610213093,0
060610233001,0
060610210351,0
060610212033,0
060610224001,0
060610210461,0
060250104003,0
060250104004,0
060250105003,0
060250105001,0
060250105004,0
060250106004,0
060250106003,0
060250108001,0
060871221002,0
060871224003,0
060871220033,0
060871224005,0
060871220032,0
060871222014,0
060871216001,0
060871204002,0
060871217002,0
060871107003,0
060871107002,0
060871231001,0
060871224002,0
060871203011,0
060871205005,0
060871205004,0
060871205001,0
060871203013,0
060871206004,0
060871206005,0
060871004002,0
060871220035,0
060610208053,0
060610203003,0
060610203001,0
060610220131,0
060610204021,0
060610204022,0
060610212042,0
060610205022,0
060610211292,0
060610211092,0
060610211091,0
060610207172,0
060610231003,0
060610211081,0
060610211282,0
060610213091,0
060610211221,0
060610223001,0
060610222002,0
060610221001,0
060250104002,0
060250104001,0
060250105002,0
060250106002,0
060250106001,0
060250107002,0
060250107001,0
060250119003,0
060250119001,0
060250122001,0
060250120011,0
060871216003,0
060871217004,0
060871218003,0
060871218002,0
060871218001,0
060871003001,1
060871214021,0
060871217003,0
060871217005,0
060871217006,0
060871222012,0
060871221001,0
060610230001,0
060610211232,0
060610211231,0
060610211312,0
060610229001,0
060610211301,0
060619900000,0
060250120012,0
060250121003,0
060250121002,0
060250101023,0
060250123011,0
060250124002,1
060250101024,0
060250111001,0
060250111003,0
060250112011,0
060871203012,0
060871207002,0
060871224004,0
060871213004,0
060871213002,0
060871009001,0
060871001002,0
060871214022,0
060871214032,0
060871220014,0
060871220012,0
060871224006,0
060871222016,0
060871222015,0
060871221003,0
060871222017,0
060871225001,0
060871225004,0
060871102005,0
060871231002,0
060610210463,0
060610210382,0
060610210371,0
060610210431,0
060610206053,0
060250112012,0
060250112023,0
060250113002,0
060250118012,0
060250118031,0
060871215004,0
060871214012,0
060871216004,0
060871217001,0
060871105014,0
060871215005,0
060871216005,0
060871214023,0
060871010004,1
060871012003,0
060871011004,0
060610207102,0
060610206062,0
060610206063,0
060610208051,0
060610208052,0
060610208062,0
060250112021,0
060250114002,0
060250114001,0
060250115002,0
060250115001,0
060250115003,0
060250116003,0
060250116001,0
